# CBMemberTranslator Type Table
# Generated: 04/07/2026 06:03:56
# Format: ADDR  SIZE  TEMPLATE_TYPE  T_PARAM  M_SIGNATURE

0x8031b314  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031b224  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(INGTarget::*)(INGTarget_*  char_*)
0x8031b29c  120  CBMemberTranslator0  ?  ?
0x8031af54  120  CBMemberTranslator2  char_*  char_*)
0x8031abc0  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031ac84  120  CBMemberTranslator1wRet  char_*(G2DTarget::*)(G2DTarget_*  char_*)
0x8031ab48  120  CBMemberTranslator0  ?  ?
0x8031aa58  120  CBMemberTranslator2  char_*  char_*)
0x8031aad0  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(FCMTarget::*)(FCMTarget_*  char_*)
0x8031ae64  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x8031aedc  120  CBMemberTranslator1wRet  char_*(H2DTarget::*)(H2DTarget_*  char_*)
0x8031adec  120  CBMemberTranslator0  ?  ?
0x8031acfc  120  CBMemberTranslator2  char_*  char_*)
0x8031ad74  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(G2DTarget::*)(G2DTarget_*  char_*)
0x80319ed4  120  CBMemberTranslator0  ?  ?
0x802afb20  120  CBMemberTranslator0  ?  ?
0x802afb98  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802afaa8  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802af9b8  120  CBMemberTranslator1wRet  char_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802afa30  120  CBMemberTranslator2  char_*  char_*)
0x802afd78  120  CBMemberTranslator0  ?  ?
0x802afdf0  120  CBMemberTranslator1  void_(CASRoommateTarget::*)(CASRoommateTarget_*  ERC_*)
0x802afd00  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802afc10  120  CBMemberTranslator1wRet  char_*(CASRoommateTarget::*)(CASRoommateTarget_*  char_*)
0x802afc88  120  CBMemberTranslator2  char_*  char_*)
0x802af8d0  120  CBMemberTranslator1  void_(UIObjectBase::*)(UIObjectBase_*  ERC_*)
0x802af588  120  CBMemberTranslator1wRet  unsigned_wchar_t_*(UIObjectBase::*)(UIObjectBase_*  char_*)
0x802af600  120  CBMemberTranslator0  ?  ?
0x802af510  120  CBMemberTranslator2  char_*  char_*)
